Organisation,Gruppierung,Bezug_zu_iCity,Ergaenzung_Bezug,Hauptthemen,Nebenthemen,Relevante_HFT_Themen,Homepage,Strasse,PLZ,Ort,Land,Bundesland
47Nord Media GmbH,KMU,iCity Beirat,,Start-Up,"Digitale Innovation: Digital-Pioniere, strategische Beratung, Design & moderne Softwareentwicklung","Bildung, Arbeit und Gesellschaft",https://www.47nord.de/,Christophstraße 6,70178,Stuttgart,Deutschland,BW
BABLE GmbH,KMU,Assoziierter iCity Partner,,,,Netzwerk,www.bable-smartcities.de,,,,,
Baden-Württembergischer Genossenschaftsverband e.V.,Verein,iCity Beirat,,Verband,,"Bildung, Arbeit und Gesellschaft",https://www.wir-leben-genossenschaft.de/,Heilbronner Straße 41,70191,Stuttgart,Deutschland,BW
Baden-Württembergischer Genossenschaftsverband e.V.,Verein,iCity Beirat,,Verband,,"Bildung, Arbeit und Gesellschaft",https://www.wir-leben-genossenschaft.de/,Heilbronner Straße 41,70191,Stuttgart,Deutschland,BW
Bundesverband Kalksandstein Industrie e.V.,Großunternehmen,iCity Teilprojekt,Streetmoves4iCity,Kalksandsteinindustrie,,Bau- und Stadtentwicklung,www.kalksandstein.de ,Entenfangweg 15,30419,Hannover,Deutschland,Ni
CADFEM International GmbH,Großunternehmen,iCity Teilprojekt,SenSim4iCity,Geoinformatik,"Software, Hardware & Services","Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.cadfem.net,Am Schammacher Feld 37,85567,Grafing b. München,Deutschland,Ba
CO2OP GbR,KMU /Start up,Assoziierter iCity Partner,,,,"Energie, Bau- und Stadtentwicklung",https://www.co2op.earth/,Hegelstraße 116,73431,Aalen,Deutschland,BW
Deutsche Gesellschaft für Nachhaltiges Bauen – DGNB e.V. ,Verein,iCity Beirat,,Wirtschaft,Nachhaltiges Bauen,Bau- und Stadtentwicklung,https://www.dgnb.de/de/,Tübinger Straße 43 ,70178,Stuttgart,Deutschland,BW
enisyst GmbH,KMU,iCity Teilprojekt,DiaOpt4iCity,Energiemanagement,"smartes Energiemanagement
Steuerung und Optimierung dezentraler Energiesysteme",Energie,https://www.enisyst.de/,Robert-Bosch-Straße 8/1,72124,Pliezhausen,Deutschland,BW
Fachhochschule Dortmund,"Hochschule, Forschung",FH-Impuls,RuhrValley,,,"Energie, Mobilität",https://www.ruhrvalley.de/,Mont-Cenis-Platz 1B,44627,Herne,Deutschland,
GEF Ingenieure AG,,iCity Teilprojekt,DiaOpt4iCity,"Energieversorgung, Wärmeversorgung","Ingenieur-Dienstleistungen und integrierte Komplettlösungen für Energieversorgungsunternehmen, Kommunen und die Industrie","Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.gef.de/,Ferdinand-Porsche-Straße 4a,69181,Leimen ,Deutschland,Baden-Württemberg
HAW Hamburg,"Hochschule, Forschung",FH-Impuls,X-Energy,,,Energie,https://www.haw-hamburg.de/,Alexanderstraße 1,20099,Hamburg,Deutschland,
"HAWK Hochschule für angewandte Wissenschaft und Kunst, Hildesheim/Holzminden/Göttingen","Hochschule, Forschung",FH-Impuls,Plasma for Life,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://plasma-for-life.hawk.de/de,Von-Ossietzky-Straße 100  ,37085,Göttingen,Deutschland,
Hochschule Aalen - Technik und Wirtschaft,"Hochschule, Forschung",FH-Impuls,SmartPro,,,Energie,https://smart-pro.org/,Beethovenstraße 1,73430,Aalen,Deutschland,
Hochschule Furtwangen,"Hochschule, Forschung",FH-Impuls,CoHMed,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.hs-furtwangen.de/forschung/forschungsprojekte/cohmed/,Jakob-Kienzle-Straße 17,78054,VS-Schwenningen,Deutschland,
Hochschule Mannheim,"Hochschule, Forschung",FH-Impuls,M2AIND,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.m2aind.hs-mannheim.de/,Paul-Wittsack-Straße 10,68163,Mannheim,Deutschland,
Hochschule Westfalen-Lippe,"Hochschule, Forschung",FH-Impuls,smartFoodTechnologyOWL,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.th-owl.de/smartfoodtechnologyowl/,Langenbruch 6,32657,Lemgo,Deutschland,
Hochschule Zittau/Görlitz,"Hochschule, Forschung",FH-Impuls,LaNDER³,,,Bau- und Stadtentwicklung,https://lander.hszg.de/,Külzufer 2,2763,Zittau,Deutschland,
imakomm AKADEMIE GmbH,KMU,Assoziierter iCity Partner,,"Kommunalentwicklung, Marketing","intelligente Mobilität und Quartiersentwicklung, autofreie Innenstädte, kreative Millieus, Neuorientierung von Innenstädten im Zuge der Digitalisierung, Smart City",Netzwerk,www.imakomm-akademie.de,Ulmer Straße 130,73431,Aalen,Deutschland,BW
invenio virtual technologies GmbH,Großunternehmen,iCity Teilprojekt,UDigiT4iCity,"Virtual Reality, KI, 3D Daten","KI, 3D Daten","Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.invenio.net/de/virtual-technologies/,Robert-Bürkle-Straße 3,85737 ,Ismaning,Deutschland,Bayern
Klingenstadt Solingen ,Kommune,iCity Teilprojekt,UDigiT4iCity,Digitalisierung,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,Postfach 10 01 65,42601,Solingen,Deutschland,NRW
Landeshauptstadt Stuttgart,,iCity Teilprojekt,Streetmoves4iCity,,,Bau- und Stadtentwicklung,,,,,,
"Landeshauptstadt Stuttgart, Amt für Stadtplanung und Wohnen",Politik/Verwaltung,iCity Beirat,,Öffentliche Verwaltung,,Bau- und Stadtentwicklung,,Eberhardstraße 10,70173,Stuttgart,Deutschland,BW
"Landeshauptstadt Stuttgart, Amt für Umweltschutz  ",Politk/Verwaltung,iCity Beirat,,Öffentliche Verwaltung,"Umwelt, Klimaschutz",Energie,,Gaisburgstr. 4 ,70182,Stuttgart,Deutschland,BW
"Landeshauptstadt Stuttgart, Stadtmessungsamt",Politk/Verwaltung,iCity Beirat,,Öffentliche Verwaltung,Stadtmessung,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,Kronenstr. 20,70173,Stuttgart,Deutschland,BW
Landtag BW,Politik/Verwaltung,iCity Beirat,,Politik,,Bau- und Stadtentwicklung,,Konrad-Adenauer-Straße 12,70173,Stuttgart,Deutschland,BW
M.O.S.S. Computer Grafik Systeme GmbH,KMU,iCity Teilprojekt,UDigiT4iCity,Geoinformatik,intelligente Geo- und IT-Lösungen,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,Hohenbrunner Weg 13,82024,Taufkirchen,Deutschland,BW
Ministerium für Finanzen Baden-Württemberg,Politik/Verwaltung,iCity Beirat,,Politik,,Energie,,Neues Schloss - Schlossplatz 4,70173,Stuttgart,Deutschland,BW
Ministerium für Ländlichen Raum und Verbraucherschutz ,Politik/Verwaltung,iCity Beirat,,Politik,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,Kernerpl. 10,70182,Stuttgart,Deutschland,BW
Ministerium für Verkehr Baden-Württemberg,Politik/Verwaltung,iCity Teilprojekt,EMO4iCity,Vekehr,,"Mobilität, Bau- und Stadtentwicklung",,Dorotheenstraße 8,70173,Stuttgart,Deutschland,BW
Robert Bosch GmbH,Großunternehmen,iCity Lenkungsausschuss,,Industrie,Facilitymanagement,Energie,,FCM2-Si / Postfach 30 02 40,70442,Stuttgart,Deutschland,BW
Robert Bosch GmbH,Großunternehmen,iCity Teilprojekt,SenSim4iCity,,,Energie,,FCM2-Si / Postfach 30 02 40,70442,Stuttgart,Deutschland,BW
Schöck Bauteile GmbH,Großunternehmen,iCity Teilprojekt,DiaOpt4iCity,"Baumaterialien, Bauphysik",,Bau- und Stadtentwicklung,https://www.schoeck.com/de/home,Vimbucher Straße 2,76534,Baden-Baden,Deutschland,BW
Schüco International KG,Großunternehmen,iCity Lenkungsausschuss,,Bauzulieferer,"Fenster-, Fassadentechnologie, Türen, Smart Home",Bau- und Stadtentwicklung,,Karolinenstraße 1-15,33609,Bielefeld,Deutschland,NRW
Solawi Heckengäu eG,Genossenschaft,Assoziierter iCity Partner,,Solidarische Landwirtschaft,,"Bildung, Arbeit und Gesellschaft",,,,,,
SoundPLAN GmbH,KMU,iCity Lenkungsausschuss,,Lärmsimulationssoftware,Lärmsimulationssoftware,Bau- und Stadtentwicklung,https://www.soundplan.eu/de/,Etzwiesenberg 15,71522,Backnang,Deutschland,BW
SoundPLAN GmbH,KMU,iCity Teilprojekt,SenSim4iCity,Lärmsimulationssoftware,Lärmsimulationssoftware,"Bau- und Stadtentwicklung, Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.soundplan.eu/de/,Etzwiesenberg 15,71522,Backnang,Deutschland,BW
Stadtwerke Ludwigsburg-Kornwestheim GmbH,Energieversorger,iCity Teilprojekt,SenSim4iCity,"Energie, IT",,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.swlb.de/,Gänsefußallee 23,71636,Ludwigsburg,Deutschland,BW
Stadtwerke Stuttgart GmbH,Großunternehmen,iCity Beirat,,Energieversorger,"Energieanbieter für Ökostrom, Bio- und Erdgas in Stuttgart",Energie,,Friedrichstraße 45,70173,Stuttgart,Deutschland,BW
Stadtwerke Stuttgart GmbH,Großunternehmen,iCity Teilprojekt,EMO4iCity,Energieversorger,"Energieanbieter für Ökostrom, Bio- und Erdgas in Stuttgart","Mobilität, Bau- und Stadtentwicklung",www.stadtwerke-stuttgart.de,Friedrichstraße 45,70173,Stuttgart,Deutschland,BW
Stuttgart Netze Betrieb GmbH,Großunternehmen,iCity Beirat,,Energieversorger,Eigentümer und Betreiber der Elektrizitätsverteilnetze in Stuttgart; Kooperationsunternehmen der Stadtwerke Stuttgart und der Netze BW GmbH,Energie,,Stöckachstrasse 48,70190,Stuttgart,Deutschland,BW
Technische Betriebe Solingen,Abfall und Entsorgung,iCity Teilprojekt,UDigiT4iCity,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.solingen.de/tbs/,Dültgenstaler Straße 61,42719,Solingen,Deutschland,NRW
Technische Hochschule Ingolstadt,"Hochschule, Forschung",FH-Impuls,SAFIR  ,,,Mobilität,https://www.thi.de/forschung/forschungs-und-transferprojekte/safir/,Esplanade 10,85049,Ingolstadt,Deutschland,
TransnetBW GmbH,Energieversorgung,Assoziierter iCity Partner,,,,Energie,www.transnetbw.de,"Pariser Platz, Osloer Str. 15-17",70173,Stuttgart,Deutschland,BW
"Urban Structure Visualization Promotion Organization (Fukuoka, Japan), ",,iCity Teilprojekt,UDigiT4iCity,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,"5-10-201 Suzaki, Hakata-ku, Fukuoka, Japan",,Fukuoka,Japan,
Ventecon Technologies GmbH,KMU /Start up,Assoziierter iCity Partner,,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://ventecon.de/,Haid-und-Neu-Straße 7,76131,Karlsruhe,Deutschland,BW
Vereinigung Baden-Württembergische Wertpapierbörse e.V Stuttgart Financial,Verein,iCity Beirat,,Wirtschaft,"Sustainable Finance, Startup-Förderung, Innovation, HR/Bildung","Bildung, Arbeit und Gesellschaft",,Börsenstraße 4,70174,Stuttgart,Deutschland,BW
Vermessungsbüro Schwing & Dr. Neureither,KMU,iCity Teilprojekt,DiaOpt4iCity,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.vermessung-schwing-dr-neureither.de/,Schmelzweg 4,74821,Mosbach,Deutschland,BW
virtualcitySYSTEMS GmbH (Tochter der CADFEM Unternehmensgruppe),KMU,iCity Teilprojekt,UDigiT4iCity,Geoinformatik ,"digitale Stadtmodelle, urbane Simulationen","Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://vc.systems/,Tauentzienstrasse 7b/c,10789,Berlin,Deutschland,B
"Vizepräsidentin AKBW, Bürgermeisterin Stadt Fellbach",Politik/Verwaltung,iCity Beirat,,Öffentliche Verwaltung,,Bau- und Stadtentwicklung,,"Marktplatz 1

",70734,Fellbach,Deutschland,BW
Wirtschaftsförderung Region Stuttgart GmbH (WRS),Großunternehmen,iCity Beirat,,Wirtschaft,,"Bildung, Arbeit und Gesellschaft",,Friedrichstraße 10,70174,Stuttgart,Deutschland,BW
Wirtschaftsförderung Region Stuttgart GmbH (WRS),Großunternehmen,iCity Beirat,,Verband,,"Bildung, Arbeit und Gesellschaft",,Friedrichstraße 10,70174,Stuttgart,Deutschland,BW
"Zentrum für Sonnenenergie- und Wasserstoff-
Forschung Baden-Württemberg
",Forschung,iCity Beirat,,Forschung,"Photovoltaik, Regenerative Kraftstoffe, Batterien, H2 und Brennstoffzellen, Systemanalyse, Netzintegration und Mobilität",Energie,https://www.zsw-bw.de/,Meitnerstraße 1,70563,Stuttgart,Deutschland,BW
